,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,76100.0,1500.0,-1.93%,100.0,4543005.0,5969783.0,55.99,30174621.0,35.71,4.15,
2,2.0,SK하이닉스,171600.0,1700.0,-0.98%,5000.0,1249252.0,728002.0,54.51,5778686.0,-13.71,-15.61,
3,3.0,LG에너지솔루션,378500.0,11500.0,+3.13%,500.0,885690.0,234000.0,4.85,143194.0,71.59,6.36,
4,4.0,삼성바이오로직스,802000.0,21000.0,+2.69%,2500.0,570815.0,71174.0,11.97,58559.0,66.55,9.12,
5,5.0,삼성전자우,63900.0,1300.0,-1.99%,100.0,525825.0,822887.0,75.8,1423993.0,29.99,,
9,6.0,현대차,245000.0,10000.0,+4.26%,5000.0,513070.0,209416.0,39.37,1312061.0,5.62,13.68,
10,7.0,기아,115100.0,4700.0,+4.26%,5000.0,462753.0,402044.0,40.11,1910950.0,5.29,20.44,
11,8.0,셀트리온,178700.0,5800.0,+3.35%,1000.0,389655.0,218050.0,23.36,427827.0,49.11,5.07,
12,9.0,POSCO홀딩스,395000.0,8500.0,+2.20%,5000.0,334056.0,84571.0,27.67,331358.0,19.67,3.18,
13,10.0,NAVER,180900.0,1500.0,-0.82%,100.0,293797.0,162409.0,45.36,489113.0,29.27,4.41,
17,11.0,삼성SDI,421500.0,20500.0,+5.11%,5000.0,289842.0,68765.0,41.96,339998.0,14.77,11.48,
18,12.0,KB금융,69500.0,5800.0,+9.11%,5000.0,280440.0,403511.0,75.52,1573745.0,6.08,8.44,
19,13.0,삼성물산,147400.0,9200.0,+6.66%,100.0,273562.0,185592.0,24.96,329980.0,12.47,7.28,
20,14.0,LG화학,378000.0,7500.0,+2.02%,5000.0,266839.0,70592.0,39.0,293157.0,22.12,4.2,
21,15.0,신한지주,44300.0,2550.0,+6.11%,5000.0,225661.0,509393.0,61.2,2376516.0,5.28,8.36,
25,16.0,현대모비스,239000.0,4500.0,+1.92%,5000.0,223836.0,93655.0,39.98,155097.0,6.58,8.73,
26,17.0,카카오,49000.0,400.0,+0.82%,100.0,218170.0,445244.0,28.03,636136.0,-21.53,-10.26,
27,18.0,포스코퓨처엠,277000.0,23500.0,+9.27%,500.0,214573.0,77463.0,9.33,499514.0,746.63,1.19,
28,19.0,삼성생명,84200.0,6900.0,+8.93%,500.0,168400.0,200000.0,19.52,558526.0,8.88,4.95,
29,20.0,하나금융지주,57000.0,4600.0,+8.78%,5000.0,166643.0,292357.0,70.41,1299239.0,4.91,9.01,
33,21.0,메리츠금융지주,79400.0,4400.0,+5.87%,500.0,154569.0,194671.0,17.39,458300.0,7.58,28.11,
34,22.0,LG전자,92000.0,800.0,+0.88%,5000.0,150556.0,163648.0,29.99,346190.0,23.34,3.69,
35,23.0,삼성화재,300500.0,23000.0,+8.29%,500.0,142361.0,47375.0,53.76,145352.0,8.36,12.73,
36,24.0,한국전력,20900.0,750.0,+3.72%,5000.0,134170.0,641964.0,15.37,1721204.0,-2.78,-12.63,
37,25.0,크래프톤,259000.0,5000.0,+1.97%,100.0,125264.0,48364.0,35.14,70206.0,21.19,11.16,
